t_s,est_n_m,est_e_m,est_vn_mps,est_ve_mps,est_bax_mps2,est_bay_mps2,height_used_m,flow_vn_mps,flow_ve_mps,flow_valid,flow_reason,safety_mode,warnings,innov_vn_mps,innov_ve_mps,true_n_m,true_e_m,true_vn_mps,true_ve_mps,true_alt_m,of_quality,texture_class
0.63,0.013224343621952813,0.07173027399524973,0.04421967192316517,0.12115166542855958,0.007056387965953824,0.004953467557608702,1.0343174008488318,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0159565756132063,0.0682378960353551,0.0491769166354077,0.1126081985383405,1.076980074348964,,textured_floor
0.64,0.014954183197810736,0.0737241633387451,0.048322177938037135,0.12361192517780976,0.004696055260838042,0.00354609267544092,1.0866687502324972,0.09022330596814383,0.14908406280912886,1,OK,OP_VALID,,0.044767569764148425,0.02721467779179415,0.0164557004765206,0.0693656426429298,0.0499124863314344,0.1127746607574689,1.077387999858775,207.51972732093188,textured_floor
0.65,0.015444021249174877,0.07496388865288069,0.04964543233479096,0.12433313764930815,0.004696055260838042,0.00354609267544092,1.0751618306988713,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0169621601409855,0.0704950418582878,0.0506459664464816,0.1129399215357968,1.0777949807242233,,textured_floor
0.66,0.01594248055680463,0.07621319116507372,0.05004642919115879,0.12552736478929752,0.004696055260838042,0.00354609267544092,1.0700832656879533,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0174759334130878,0.0716260816010518,0.0513773272102369,0.1131039742763976,1.0782010034110627,,textured_floor
0.67,0.01644465944305481,0.07746169923798454,0.05038934805887727,0.12417424979286812,0.004696055260838042,0.00354609267544092,1.1071722437680676,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0179969988029243,0.0727587497250845,0.052106538983644,0.1132668124032751,1.0786060544410443,,textured_floor
0.68,0.016184356830658303,0.07884300502983699,0.05008495114072238,0.12375773739334746,0.006133113796722489,0.0032658978188116437,1.0743944545276356,0.023331381700455445,0.12872210233947418,1,OK,OP_VALID,,-0.028446816133776056,0.0052785620684647205,0.0185253345255315,0.0738930340187004,0.052833572260719,0.113428429361587,1.0790101203927016,202.67663936980563,textured_floor
0.6900000000000001,0.016687774356130815,0.0800837975435711,0.05059855395378034,0.12440076535347747,0.006133113796722489,0.0032658978188116437,1.0551899674917302,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.019060918502235,0.0750289222048791,0.0535583976703573,0.1135888186178677,1.0794131879021291,,textured_floor
0.7000000000000001,0.017192179713051026,0.08131705504245972,0.050282517430261874,0.12225073442424621,0.006133113796722489,0.0032658978188116437,1.0866616169289338,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0196037283620163,0.0761664019414816,0.0542809859781306,0.1137479736602515,1.0798152436637614,,textured_floor
0.71,0.017693802645534704,0.08254138546228852,0.05004206906647467,0.12261534954151582,0.006133113796722489,0.0032658978188116437,1.0859420795472499,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0201537414428971,0.0773054608214685,0.0550013080880755,0.1139058879986941,1.080216274431145,,textured_floor
0.72,0.018680801552783257,0.08298073308740446,0.051016563342122886,0.12172606758637479,0.005227172091008717,0.004768863310706266,1.0780103141546027,0.0673944527142513,0.09513722675342327,1,OK,OP_VALID,,0.017430691126237303,-0.02829802188996189,0.0207109347933418,0.0784460863731205,0.0557193350444718,0.1140625551651944,1.0806162670177082,202.81867554863527,textured_floor
